oxide,g_pbx (eV/atom),r_s (AA),r_val (AA),e_H (eV),e_L (eV),AN,EA (eV),IP (eV),r_cov (AA),EN (Pauling),N_val,N_unf,CE (eV),max_OS,stdev_OS
Ca4Fe9O17,0.2857768630477608,1.1749833333333335,0.87055,-7.147290004714172,0.508223333668545,18.0,0.8772040386666667,10.902725659333331,1.0046666666666666,2.6316666666666664,6.066666666666666,2.333333333333333,-6.875818973494461,3,3.009419175453115
CuO,0.6289524629917522,0.8315500000000001,0.8166500000000001,-8.815810005814685,0.0020700000013655,18.5,1.34844465,10.6722175,0.99,2.67,8.5,1.5,-3.1606502490030834,2,2.8284271247461903
CrK2O4,0.330175484512615,1.36475,1.01845,-6.526253337637885,0.3843600002535144,17.0,1.0747400942857144,9.988579637142855,1.1557142857142857,2.437142857142857,4.571428571428571,2.2857142857142856,-2.8051437711998006,6,3.6742346141747673
CaFe2O4,0.2807663256495918,1.1749833333333335,0.87055,-7.147290004714172,0.508223333668545,18.0,0.8822064114285715,10.912901667142856,1.0057142857142858,2.631428571428572,6.0,2.2857142857142856,-6.875818973494461,3,3.082207001484488
CoTi2O5,0.0704356878371458,1.10335,0.4421833333333334,-7.421066671561415,0.6445200004251096,19.0,1.0148601875,11.203440625,0.97,2.77,5.875,3.625,-12.821384571832215,4,3.62994085189212
CrNaO2,0.453064318518847,1.2189166666666666,0.8726166666666667,-6.715706671096176,0.473656666979079,14.333333333333334,1.0364945125,9.78542424,1.0925,2.3675,4.75,2.75,-3.0419359124998664,3,2.683281572999748
CaMoO4,0.0673471636656402,1.26905,0.98815,-7.020876671297459,0.4200100002770284,23.33333333333333,1.1027170333333334,11.279634245,0.99,2.8200000000000003,5.333333333333333,2.333333333333333,-7.121039166500851,6,4.320493798938573
CaFeO3,0.4312165707629079,1.1749833333333335,0.87055,-7.147290004714172,0.508223333668545,18.0,0.912220648,10.973957714,1.012,2.63,5.6,2.0,-6.875818973494461,0,0.0
CsO3,0.8038795290325242,1.48785,1.47295,-7.289490004807963,1.0578300006977186,31.5,1.2137365375,11.1870176818575,1.105,2.7775,4.75,1.75,-0.7002032307972168,0,0.0
Fe2TiO5,-0.0224707915593791,1.1055833333333336,0.4488833333333333,-7.284936671471627,0.3719866669120201,18.666666666666668,0.9609430225,11.3404164,0.9425,2.8,6.25,3.25,-11.374465042329875,4,3.564531154716027
Fe2ZnO4,0.0748691539557264,0.9431833333333334,0.6387499999999999,-7.975086671926832,0.6805166671155187,21.33333333333333,0.7901276971428572,11.381621885714283,0.9285714285714286,2.724285714285714,7.428571428571429,2.2857142857142856,-6.230260711992742,3,3.082207001484488
FeO,0.8101408874973173,0.8584000000000003,0.40175,-8.749895005771208,1.2298700008111918,17.0,0.8071708200000001,10.76026155,0.99,2.635,7.0,3.0,-5.089459942995745,2,2.8284271247461903
FeTi2O5,0.1288154858970766,1.1055833333333336,0.4488833333333333,-7.284936671471627,0.3719866669120201,18.666666666666668,0.951231605,11.2061228875,0.9775,2.76375,5.75,3.75,-11.374465042329875,4,3.62994085189212
FeLi2O3,0.4702037048967576,1.1110166666666668,0.8065833333333333,-6.970756671264401,0.5229466670115895,12.333333333333334,0.9621084466666668,9.923343848666669,0.9766666666666668,2.3516666666666666,4.666666666666667,2.0,-6.663708218329096,0,0.0
FeNa4O3,1.190599281196424,1.1543166666666669,0.8498833333333334,-6.896586671215481,0.5255200003466202,15.0,0.841032155,8.6641176175,1.2425,1.98375,3.75,1.75,-6.155902359495485,2,2.051956704170308
FeNa3O3,0.7970341505483984,1.1543166666666669,0.8498833333333334,-6.896586671215481,0.5255200003466202,15.0,0.8829044271428572,9.167694854285712,1.182857142857143,2.1342857142857143,4.142857142857143,1.8571428571428568,-6.155902359495485,3,2.3664319132398464
FeLiO2,0.2564701856463417,1.1110166666666668,0.8065833333333333,-6.970756671264401,0.5229466670115895,12.333333333333334,0.92337404,10.132573274,0.98,2.4225,5.25,2.25,-6.663708218329096,3,2.683281572999748
FeNa4O4,0.8271678905579295,1.1543166666666669,0.8498833333333334,-6.896586671215481,0.5255200003466202,15.0,0.909929171111111,9.214555104444443,1.1777777777777778,2.145555555555556,4.0,1.7777777777777777,-6.155902359495485,0,0.0
FeLi5O4,0.9145819389689068,1.1110166666666668,0.8065833333333333,-6.970756671264401,0.5229466670115895,12.333333333333334,0.908790364,8.933326308,1.036,2.0490000000000004,3.7,1.7,-6.663708218329096,3,2.27429413073671
Ga2O3,0.2837224373053083,0.7345500000000001,0.89965,-10.685995007048213,0.8208100005413861,19.5,0.99714362,10.5705538,0.8840000000000001,2.7880000000000003,8.8,3.2,-3.0389640764988144,3,3.5355339059327378
GeO2,-1.6934856340371691,0.69205,0.8005500000000001,-11.895570007846016,0.4330550002856328,20.0,1.3849623376666669,11.711848333333334,0.84,2.9633333333333334,8.666666666666666,2.6666666666666665,-4.179107971496705,4,4.242640687119285
In2O3,0.3467711763791946,0.8037000000000001,0.9838,-10.279690006780225,0.8176600005393085,28.5,1.03023358,10.48537528,0.964,2.776,8.8,3.2,-2.694806174685558,3,3.5355339059327378
IrO2,-0.6115233342354808,0.8788000000000001,0.5606,-9.355325006170537,-0.3706950002445002,42.5,1.4955240333333333,12.06771,0.91,3.026666666666667,11.666666666666666,2.333333333333333,-8.288537052983884,4,4.242640687119285
KO3,0.7371945320115816,1.3209,1.306,-7.455265004917304,1.095270000722413,13.5,1.2211937575,11.2987071825,1.0025,2.785,4.75,1.75,-0.829650275199674,0,0.0
KO,0.5900472246005215,1.3209,1.306,-7.455265004917304,1.095270000722413,13.5,0.981282215,8.979359365,1.345,2.13,3.5,1.5,-0.829650275199674,0,0.0
K2O,1.9876032568891069,1.3209,1.306,-7.455265004917304,1.095270000722413,13.5,0.8213411866666667,7.433127486666667,1.5733333333333337,1.6933333333333334,2.6666666666666665,1.3333333333333333,-0.829650275199674,1,2.1213203435596424
KO2,0.9546903807997608,1.3209,1.306,-7.455265004917304,1.095270000722413,13.5,1.1412232433333334,10.525591243333334,1.1166666666666667,2.566666666666667,4.333333333333333,1.6666666666666667,-0.829650275199674,0,0.0
LiO2,0.7472892900689149,1.0372,1.0223,-7.850700005178123,1.225355000808214,5.5,1.1800866066666666,10.875941665333333,0.8666666666666667,2.62,4.333333333333333,1.6666666666666667,-1.5742482753333509,0,0.0
LiO,0.4158456750499115,1.0372,1.0223,-7.850700005178123,1.225355000808214,5.5,1.03957726,9.504884998,0.97,2.21,3.5,1.5,-1.5742482753333509,0,0.0
Li2O,1.141245509759641,1.0372,1.0223,-7.850700005178123,1.225355000808214,5.5,0.8990679133333332,8.133828330666667,1.0733333333333333,1.8,2.6666666666666665,1.3333333333333333,-1.5742482753333509,1,2.1213203435596424
LiO3,0.6837080632079764,1.0372,1.0223,-7.850700005178123,1.225355000808214,5.5,1.25034128,11.561469999,0.8150000000000001,2.825,4.75,1.75,-1.5742482753333509,0,0.0
MgMo2O7,0.0948462268120607,1.1172833333333336,0.8363833333333334,-7.387600004872674,0.4748933336465614,20.666666666666668,1.13023971,11.7157481,0.911,2.971,5.6,2.6,-6.834178601335226,6,4.754860213736458
